Local Time,Measurement,Size (nm),Voltage (V),Sheath Flow,Flowmeter Flow,Corona HV (V)
2025 05 11 19 47 09 +0000, 88 177 10.212914 1 0,0.0,0.03434,14.28,14.28,4800.0
2025 05 11 19 47 15 +0000, 104 213 12.290435 1 0,0.0,0.03434,14.02,14.02,4800.0
2025 05 11 19 47 21 +0000, 91 185 10.674570 1 0,0.0,0.03434,14.07,14.07,4800.0
2025 05 11 19 47 27 +0000, 89 182 10.501439 1 0,0.0,0.03434,13.9,13.9,4800.0
2025 05 11 19 47 34 +0000, 86 176 10.155190 1 0,0.0,0.03434,13.99,13.99,4800.0
2025 05 11 19 47 40 +0000, 95 194 11.193946 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 19 47 46 +0000, 93 188 10.847702 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 19 47 52 +0000, 91 187 10.789977 1 0,0.0,0.03434,13.93,13.93,4800.0
2025 05 11 19 47 58 +0000, 84 170 9.808955 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 19 48 04 +0000, 97 197 11.367080 1 0,0.0,0.03434,13.96,13.96,4800.0
2025 05 11 19 48 10 +0000, 99 200 11.540215 1 0,0.0,0.03434,14.19,14.19,4800.0
2025 05 11 19 48 16 +0000, 96 195 11.251661 1 0,0.0,0.03434,14.29,14.29,4800.0
2025 05 11 19 48 22 +0000, 82 167 9.635829 1 0,0.0,0.03434,14.16,14.16,4800.0
2025 05 11 19 48 28 +0000, 97 197 11.367080 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 19 48 35 +0000, 82 168 9.693531 1 0,0.0,0.03434,13.86,13.86,4800.0
2025 05 11 19 48 41 +0000, 92 186 10.732284 1 0,0.0,0.03434,13.97,13.97,4800.0
2025 05 11 19 48 47 +0000, 96 193 11.136253 1 0,0.0,0.03434,13.91,13.91,4800.0
2025 05 11 19 48 53 +0000, 85 174 10.039776 1 0,0.0,0.03434,14.13,14.13,4800.0
2025 05 11 19 48 59 +0000, 96 195 11.251661 1 0,0.0,0.03434,14.04,14.04,4800.0
2025 05 11 19 49 05 +0000, 78 160 9.231877 1 0,0.0,0.03434,13.95,13.95,4800.0
